Postcode,State,Fuel Type, Registrations as at 31 January 2021 , Registrations as at 31 January 2022 , Registrations as at 31 January 2023 
2036,NSW,HFCEV, -   , -   , -   
2036,NSW,Hybrid/PHEV, 292 , 371 , 452 
2037,NSW,ICE," 7,193 "," 7,327 "," 7,365 "
2037,NSW,BEV, 25 , 41 , 69 
2037,NSW,HFCEV, -   , -   , -   
2037,NSW,Hybrid/PHEV, 176 , 227 , 257 
2038,NSW,ICE," 4,857 "," 4,866 "," 4,776 "
2038,NSW,BEV, 13 , 23 , 43 
2038,NSW,HFCEV, -   , -   , -   
2038,NSW,Hybrid/PHEV, 125 , 145 , 163 
2039,NSW,ICE," 5,296 "," 5,252 "," 5,175 "
2039,NSW,BEV, 5 , 18 , 48 
2039,NSW,HFCEV, -   , -   , -   
2039,NSW,Hybrid/PHEV, 113 , 123 , 150 
2040,NSW,ICE," 12,869 "," 12,692 "," 12,601 "
2040,NSW,BEV, 16 , 37 , 89 
2040,NSW,HFCEV, -   , -   , -   
2040,NSW,Hybrid/PHEV, 180 , 349 , 361 
2041,NSW,ICE," 8,627 "," 8,487 "," 8,404 "
2041,NSW,BEV, 22 , 59 , 107 
2041,NSW,HFCEV, -   , -   , -   
2041,NSW,Hybrid/PHEV, 190 , 256 , 295 
2042,NSW,ICE," 7,348 "," 7,501 "," 7,256 "
2042,NSW,BEV, 9 , 20 , 43 
2042,NSW,HFCEV, -   , -   , -   
2042,NSW,Hybrid/PHEV, 120 , 153 , 203 
2043,NSW,ICE," 3,677 "," 3,837 "," 3,931 "
2043,NSW,BEV, 8 , 16 , 33 
2043,NSW,HFCEV, -   , -   , -   
2043,NSW,Hybrid/PHEV, 60 , 83 , 115 
2044,NSW,ICE," 4,882 "," 5,041 "," 5,126 "
2044,NSW,BEV, 6 , 11 , 29 
2044,NSW,HFCEV, -   , -   , -   
2044,NSW,Hybrid/PHEV, 448 , 462 , 545 
2045,NSW,ICE," 4,350 "," 4,358 "," 4,288 "
2045,NSW,BEV, 11 , 22 , 336 
2045,NSW,HFCEV, -   , -   , -   
2045,NSW,Hybrid/PHEV, 93 , 211 , 320 
2046,NSW,ICE," 17,926 "," 17,458 "," 17,414 "
2046,NSW,BEV, 27 , 55 , 111 
2046,NSW,HFCEV, -   , -   , -   
2046,NSW,Hybrid/PHEV, 297 , 382 , 476 
2047,NSW,ICE," 7,277 "," 7,164 "," 7,122 "
2047,NSW,BEV, 20 , 35 , 80 
2047,NSW,HFCEV, -   , -   , -   
2047,NSW,Hybrid/PHEV, 118 , 159 , 188 
2048,NSW,ICE," 3,731 "," 3,733 "," 3,703 "
