,Postcode,Latitude,Longitude,State,Fuel Type,Registrations as at 31 January 2021,Registrations as at 31 January 2022,Registrations as at 31 January 2023
8290,5550,-34.093038,138.243785,SA,HFCEV,0,0,0
8291,5550,-34.093038,138.243785,SA,Hybrid/PHEV,3,8,10
8292,5552,-34.061253,137.862942,SA,ICE,349,339,367
8293,5552,-34.061253,137.862942,SA,BEV,0,0,0
8294,5552,-34.061253,137.862942,SA,HFCEV,0,0,0
8295,5552,-34.061253,137.862942,SA,Hybrid/PHEV,3,0,3
8296,5554,-33.928029,137.756193,SA,ICE,4939,5085,5192
8297,5554,-33.928029,137.756193,SA,BEV,0,3,4
8298,5554,-33.928029,137.756193,SA,HFCEV,0,0,0
8299,5554,-33.928029,137.756193,SA,Hybrid/PHEV,34,46,70
8300,5555,-33.656811,138.191161,SA,ICE,662,653,658
8301,5555,-33.656811,138.191161,SA,BEV,0,0,0
8302,5555,-33.656811,138.191161,SA,HFCEV,0,0,0
8303,5555,-33.656811,138.191161,SA,Hybrid/PHEV,4,4,4
8304,5556,-33.950853,137.610828,SA,ICE,3741,3869,3989
8305,5556,-33.950853,137.610828,SA,BEV,0,0,0
8306,5556,-33.950853,137.610828,SA,HFCEV,0,0,0
8307,5556,-33.950853,137.610828,SA,Hybrid/PHEV,19,35,48
8308,5558,-34.105205,137.598449,SA,ICE,4640,4732,4927
8309,5558,-34.105205,137.598449,SA,BEV,0,0,0
8310,5558,-34.105205,137.598449,SA,HFCEV,0,0,0
8311,5558,-34.105205,137.598449,SA,Hybrid/PHEV,16,33,46
8312,5560,-33.895055,138.031867,SA,ICE,449,451,471
8313,5560,-33.895055,138.031867,SA,BEV,0,0,0
8314,5560,-33.895055,138.031867,SA,HFCEV,0,0,0
8315,5560,-33.895055,138.031867,SA,Hybrid/PHEV,3,4,7
8316,5570,-34.27432669,137.8992912,SA,ICE,674,671,668
8317,5570,-34.27432669,137.8992912,SA,BEV,0,0,0
8318,5570,-34.27432669,137.8992912,SA,HFCEV,0,0,0
8319,5570,-34.27432669,137.8992912,SA,Hybrid/PHEV,0,3,0
8320,5571,-34.51494,137.811541,SA,ICE,1938,1938,1992
8321,5571,-34.51494,137.811541,SA,BEV,0,0,0
8322,5571,-34.51494,137.811541,SA,HFCEV,0,0,0
8323,5571,-34.51494,137.811541,SA,Hybrid/PHEV,7,15,19
8324,5572,-34.237139,137.812526,SA,ICE,208,200,201
8325,5572,-34.237139,137.812526,SA,BEV,0,0,0
8326,5572,-34.237139,137.812526,SA,HFCEV,0,0,0
8327,5572,-34.237139,137.812526,SA,Hybrid/PHEV,0,0,0
8328,5573,-34.514149,137.508603,SA,ICE,2313,2333,2404
8329,5573,-34.514149,137.508603,SA,BEV,0,0,3
8330,5573,-34.514149,137.508603,SA,HFCEV,0,0,0
8331,5573,-34.514149,137.508603,SA,Hybrid/PHEV,16,21,25
8332,5575,-34.823141,137.544605,SA,ICE,2643,2652,2684
